,Latitude,Longitude,temperature
331,48.29398,14.47705,4
332,48.25379,14.81921,4
333,48.23429,14.55847,4
334,48.31178,14.81579,4
335,48.23314,14.64683,4
336,48.35075,14.90589,4
337,48.19946,14.80153,4
338,48.26463,14.95584,4
339,48.36172,13.40719,4
340,48.16757,13.55841,3.48
341,48.3167,13.51636,4
342,48.1594,13.42076,3.51
343,48.18808,13.33792,3.52
344,48.33073,13.3464,3.5
345,48.32544,13.43091,3.48
346,48.16088,13.48197,3.5
347,48.22535,13.48073,3.49
348,48.63352,13.97579,4
349,48.47494,13.96548,4
350,48.49686,13.93594,4
351,48.51778,14.03399,4
352,48.58738,13.98113,4
353,48.46799,13.79912,4
354,48.4943,13.90302,4
355,48.47901,13.99965,4
356,48.44639,14.09054,4
357,48.60567,13.90824,4
358,48.46811,14.17863,4
359,48.53172,13.92058,4
360,48.66503,13.93023,4
361,48.38201,13.57153,4
362,48.49602,13.74106,4
363,48.43699,13.65478,4
364,48.49154,13.57716,4
365,48.35565,13.63319,4
366,48.46419,13.43375,4
367,48.40795,13.43591,4
368,48.41327,13.52072,4
369,48.32031,13.63012,4
370,48.05077,14.208,4
371,47.85336,14.64457,4
372,47.88436,14.54197,4
373,47.93107,14.39614,4
374,47.90615,14.44898,4
375,47.95193,14.35956,4
376,48.49538,14.30227,4
377,48.34174,14.45204,4
378,48.44882,14.36291,4
379,48.54237,14.39477,4
380,48.51339,14.36267,4
381,48.45972,14.26811,4
382,48.06979,13.57081,3.49
383,48.01603,13.74758,3.47
384,47.99096,13.45619,3.53
385,48.02173,13.53431,3.51
386,47.96748,13.60874,3.5
387,47.83898,13.35561,3
388,47.9876,13.38527,3.54
389,48.05548,13.79244,3.45
390,48.09507,13.92337,4
391,48.18259,14.13896,4
392,48.15884,13.85286,4
393,48.10907,14.12568,4
394,47.65466,13.12284,3
395,47.53751,13.42312,3
396,47.58314,13.44939,3
397,47.59275,13.32152,3
398,47.9444,13.20863,3
399,47.85951,13.00328,3
400,47.9816,13.08709,3
401,47.88557,13.12161,3
402,47.99374,12.87088,3
403,47.83846,13.27496,3
404,47.94621,12.92126,3
405,47.75929,13.23095,3
406,47.48267,13.19281,3
407,47.38777,13.49593,3
408,47.27996,12.39773,-2.35
409,47.6638,12.75433,3
410,47.28318,12.79266,3
411,47.28199,12.66821,3
412,47.37373,12.99969,3
413,47.30153,13.03913,3
414,47.28399,12.86891,3
415,47.11812,13.81501,2
416,47.11196,13.74805,2
417,47.1387,15.79176,5
418,47.10626,14.33812,1.45
419,46.75948,15.40121,2.81
420,47.28556,15.84779,5
421,46.72498,15.84464,4.08
422,47.20693,15.6352,2.41
423,47.25617,15.31616,2.61
424,47.54508,14.0209,1
425,47.54741,13.92276,-3.28
426,46.95283,15.59164,2.79
427,46.74543,15.44144,4.02
428,47.14872,16.03475,5
429,47.18276,16.00214,5
430,46.75523,15.37498,2.82
431,47.41396,15.02135,2.84
432,47.28039,13.21776,3
433,47.42991,13.53231,3
434,47.43922,13.21162,3
435,47.38111,13.15027,3
436,47.26536,13.0812,3
437,47.42237,13.29745,3
438,47.50219,13.17417,3
439,47.29545,13.30608,3
440,47.06752,13.88969,1.39
441,47.09327,13.64758,-0.5
442,47.37223,12.69358,3
443,47.46396,12.82653,3
444,47.1973,12.98013,3
445,47.54461,14.14708,1
446,46.87975,15.53173,2.79
447,47.23645,16.06172,5
448,47.55758,14.25966,1
449,47.55516,14.20782,1
450,47.58236,14.39829,1
451,46.70099,15.74122,4.08
452,47.25842,15.50502,2.49
453,46.72573,15.41435,4.03
454,46.85523,15.8264,4.02
455,47.05015,15.85047,3.95
456,47.02732,15.30499,2.83
457,47.23999,15.74169,5
458,46.72149,15.28119,2.83
459,47.47378,16.06459,1.22
460,47.09205,15.97478,5
461,46.7859,15.939,4.06
462,47.50616,14.09406,1
463,47.71416,14.63787,2.27
464,46.97284,16.0115,4
465,47.33544,15.99699,5
466,46.78546,15.85146,4.05
467,47.23744,15.79768,5
468,47.3956,13.58944,3
469,47.5316,14.31975,1
470,47.16887,15.81821,5
471,47.58128,14.46918,1
472,46.75973,15.49837,4.02
473,46.68402,16.0068,4.11
474,46.7178,15.62524,4.06
475,47.20756,14.45418,1.49
476,46.88589,15.28898,2.83
477,46.90371,15.407,2.8
478,46.78701,15.88932,4.05
479,46.74191,15.98597,4.08
480,47.27156,15.98038,5
481,47.33782,15.03274,2.83
482,47.09259,15.71418,3.92
483,47.3878,15.10755,2.78
484,47.56675,14.85474,1
485,47.21537,15.91154,5
486,47.16506,16.09982,5
487,47.42009,13.6834,3
488,47.39545,14.84639,2.94
489,47.41881,14.76529,2.97
490,46.82901,15.27246,2.83
491,46.9394,15.3721,2.81
492,46.84435,15.41875,2.81
493,46.98185,15.79987,3.96
494,47.52464,15.46664,2.58
495,47.56114,15.60925,5
496,46.76468,15.57066,4.03
497,46.70214,15.29525,2.83
498,46.76036,15.22338,2.66
499,46.78017,15.25191,2.83
500,46.73501,15.33718,2.82
501,47.17712,15.32362,2.56
502,46.66704,15.45712,4.07
503,47.41506,13.77326,3
504,47.08143,14.69165,2.66
505,47.04475,16.10045,5
506,46.99665,15.47203,2.79
507,46.96439,15.34626,2.81
508,47.39842,13.70475,3
509,47.06147,14.43221,1.45
510,47.10218,14.10317,1.42
511,46.89666,15.72132,3.98
512,47.19677,14.28248,1.46
513,47.21764,15.26419,2.63
514,47.27528,16.03955,5
515,47.16611,15.50464,2.45
516,47.22575,15.38764,2.54
517,47.39458,15.28696,2.66
518,47.39842,15.90687,5
519,47.498,14.47171,1
520,47.55156,15.32815,2.66
521,46.79655,15.76616,4.03
522,47.38472,15.41129,2.59
523,46.99514,15.93794,3.98
524,47.76172,15.30781,1.75
525,47.5132,15.22207,2.72
526,46.71862,15.94899,4.09
527,47.12471,15.34334,2.51
528,47.53191,14.11741,1
529,47.35623,16.02971,5
530,47.21754,14.59602,2.68
531,47.46984,15.36299,2.64
